HOLE-ID,LOCATIONX,LOCATIONY,LOCATIONZ,LENGTH
B225,3030.9,1783.98,494.05,524
B226,3010.93,2037.64,518.96,527
B227,2582.59,2183.7,523.88,490
B228,2820.16,1374.34,496.39,443
B229,2943.51,2210.39,499.36,300
B230,2700.24,2007.97,532.26,493
B231,3191.31,2027.99,458.85,481
B232,2959.91,2422.13,443.21,482
B234,2748.67,2408.73,523.91,484
B235,2537.13,2409.99,573.23,500
B236,2811.07,1893.33,508.38,437
B237,2500.57,2037.97,500,282
B238,2763.08,2197.52,549.48,291
B239,3015.85,1917.73,474,500
B240,2855,2017.12,507.27,500
B241,3114.7,1660.89,470.2,441
B242,3118.03,1764.04,496.19,424
B243,3109.63,1908.49,463.1,432
B244,3110.83,2037.89,492.82,481
B245,3051.46,2188.69,477.12,490
B246,3047.35,2285.92,456.29,445
B247,2944.66,2312.04,486.76,450
B248,2764.21,2302.47,529.19,430
B249,2578.02,2289.17,551.16,428
B250,2479.09,2182.63,520.04,393
B251,2602.16,2007.86,498.79,366
B252,2603.81,2097.07,511.93,411
B253,2713.08,1904.42,525.18,380
B254,2703.26,2094.65,535.05,370
B255,2801.9,2097.5,544.94,260
B256,2805.69,1838.92,523.27,315
B257,2908.33,1835.55,497.16,412
B258,2893.62,2104.66,534.27,305
B259,3004.7,1844.69,475.36,208
B260,2995.85,2113.12,509.02,353
B261,3091.96,2110.66,485.37,270
B262,2663.07,2200.18,549.93,298
B263,2854.74,2211.34,524.81,265
B264,2910.11,1905.11,487.01,263
B265,2947.67,2025.75,509.7,300
B266,2783.84,2011.21,520.49,297
B267,3014.55,1692.5,486.37,298
B268,3105.27,1838.38,461.9,273
B269,2874.17,2310.65,495.65,266
B270,2522.83,2136.38,503.08,230
B271,2954.11,1771.95,512.02,231
B300,2911.54,2256.31,505.57,125
B301,2835.2,2252.75,518,135
B302,3017.32,2260.34,479.69,135
B303,2903.34,2364.75,473,77
B304,2815.32,2351.3,491.43,114
B305,2724.79,2253.68,551.09,135
B306,2629.09,2247.05,554.42,103
B308,2531.42,2245.07,523.88,118
B309,2437.06,2242.34,537.4,112
B310,2640.21,2147.06,532.53,89
B311,2736.14,2146.73,551.83,109
B312,2804.85,2180.01,543.34,151
B313,2945.07,2162.16,504.09,137
B314,3035.05,2163.68,485.86,75
B315,3064.41,2072.93,501.2,96
B316,2970.07,2068.76,523.55,123
B317,2889.47,2061.9,527.87,131
B318,2796.75,2056.29,530.81,158
B319,2719.8,2053.55,535.06,108
B320,2646.42,2048.06,519.59,101
B321,2665.04,1966.16,512.76,164
B322,2769.76,1956.52,530.55,178
B323,2859.69,1955.36,505.38,171
B324,2965.73,1966.02,487,251
B325,3066.7,1972.29,501,111
B326,3145.92,1974.35,485,74
B327,2663.6,1876.47,504.73,70
B328,2765.81,1870.84,526.92,111
B329,2855.54,1869.14,499.89,179
B330,2949.09,1875.34,497.12,166
B331,3054.56,1882.42,456.17,103
B332,2854.98,1804.21,521.45,115
B333,3016.34,2367.27,443.36,122
B334,2859.22,2416.78,482.2,101
B335,2949.25,1825,497.37,212
B336,3050.21,2226.96,467.1,122
B337,2417.68,2185.5,545.6,76
B338,3148.97,2081.06,476.5,133
B339,2590.06,2046.2,498.32,83
B340,2892.09,1732.32,520.3,155
B341,3062.36,1806.49,483.77,112
B342,2495.73,2317.74,532.28,129
B343,2798.15,1808.22,527.6,151
B344,2922.15,1655.71,514.08,192
B345,3102.92,2214.89,455.45,125
B346,3108,1886.43,451.6,115
B347,3121,1806.86,475.93,111
B348,3091.53,1699.01,475.64,114
B349,3076.7,1731.51,486.24,127
B350,2747.94,1714.34,505,195
B351,2978.29,1730.41,496.54,131
B353,2918.14,1959.67,479.1,296
B354,2717.81,1958.33,528.03,170
B355,2818.9,2019.6,511.87,281
B356,2898.9,2024.94,511.46,197
B357,2849.16,2105,544.74,162
B358,2946.15,2107.05,523.34,157
B359,2756.16,2095.69,544.8,162
B361,2844.48,2059.15,529.9,159
B362,2928.64,2065.62,523.5,163
B363,3043.52,2107.97,500.73,65
B364,2760.5,2058.8,535.95,163
B365,2810.33,1871.38,512.78,146
B366,2914.92,1872.6,484.8,150
B367,2999.9,1877.2,467.9,179
B368,2765.04,1903.78,525.35,165
B369,2859.47,1905.63,499.58,164
B370,2953.42,1910.18,474.2,202
B371,2742.53,2017.06,534.32,157
B372,3018.9,1971.7,492.58,158
B373,3059.08,1910.18,469.73,123
B374,2903.43,1804.06,512.01,122
B375,2855.38,1837.26,509.79,172
B376,3005.86,1805.31,488.91,114
B377,2975.68,1849.46,482.21,117
B378,3055.75,1841.08,469.16,108
B379,3077.11,1768.89,497.43,85
B380,3016.51,1772.95,499.26,84
B381,3012.19,1727.81,488.3,98
B382,3021.28,2068.58,514.1,109
B383,2807.93,2152.91,550.13,175
B384,2878,2155,528,144
B385,10000,10000,1000,370
