HOLE-ID,FROM,TO,AZIMUTH,DIP
B225,0,524,0,-90
B226,0,500,0,-90
B227,0,490,0,-90
B228,0,443,0,-90
B229,0,300,0,-90
B230,0,493,0,-90
B231,0,481,0,-90
B232,0,480,0,-90
B234,0,484,0,-90
B235,0,500,0,-90
B236,0,437,0,-90
B237,0,282,0,-90
B238,0,291,0,-90
B239,0,500,0,-90
B240,0,500,0,-90
B241,0,441,0,-90
B242,0,424,0,-90
B243,0,432,0,-90
B244,0,481,0,-90
B245,0,490,0,-90
B246,0,445,0,-90
B247,0,450,0,-90
B248,0,430,0,-90
B249,0,428,0,-90
B250,0,393,0,-90
B251,0,366,0,-90
B252,0,411,0,-90
B253,0,380,0,-90
B254,0,50,90,-40
B254,50,100,90,-40
B254,100,150,90,-40
B254,150,200,90,-40
B254,200,250,90,-40
B254,250,300,90,-40
B254,300,370,90,-40
B255,0,260,0,-90
B256,0,315,0,-90
B257,0,412,0,-90
B258,0,305,0,-90
B259,0,208,0,-90
B260,0,353,0,-90
B261,0,270,0,-90
B262,0,298,0,-90
B263,0,265,0,-90
B264,0,263,0,-90
B265,0,300,0,-90
B266,0,297,0,-90
B267,0,298,0,-90
B268,0,273,0,-90
B269,0,266,0,-90
B270,0,230,0,-90
B271,0,231,0,-90
B300,0,125,0,-90
B301,0,135,0,-90
B302,0,84,0,-90
B303,0,77,0,-90
B304,0,114,0,-90
B305,0,100,0,-90
B306,0,103,0,-90
B308,0,118,0,-90
B309,0,112,0,-90
B310,0,89,0,-90
B311,0,109,0,-90
B312,0,151,0,-90
B313,0,137,0,-90
B314,0,75,0,-90
B315,0,96,0,-90
B316,0,123,0,-90
B317,0,131,0,-90
B318,0,158,0,-90
B319,0,108,0,-90
B320,0,101,0,-90
B321,0,164,0,-90
B322,0,178,0,-90
B323,0,171,0,-90
B324,0,251,0,-90
B325,0,111,0,-90
B326,0,74,0,-90
B327,0,70,0,-90
B328,0,111,0,-90
B329,0,179,0,-90
B330,0,166,0,-90
B331,0,103,0,-90
B332,0,115,0,-90
B333,0,122,0,-90
B334,0,101,0,-90
B335,0,212,0,-90
B336,0,122,0,-90
B337,0,76,0,-90
B338,0,133,0,-90
B339,0,83,0,-90
B340,0,155,0,-90
B341,0,112,0,-90
B342,0,129,0,-90
B343,0,151,0,-90
B344,0,192,0,-90
B345,0,125,0,-90
B346,0,115,0,-90
B347,0,111,0,-90
B348,0,114,0,-90
B349,0,127,0,-90
B350,0,195,0,-90
B351,0,131,0,-90
B353,0,296,0,-90
B354,0,170,0,-90
B355,0,281,0,-90
B356,0,197,0,-90
B357,0,162,0,-90
B358,0,157,0,-90
B359,0,162,0,-90
B361,0,159,0,-90
B362,0,163,0,-90
B363,0,65,0,-90
B364,0,163,0,-90
B365,0,146,0,-90
B366,0,150,0,-90
B367,0,179,0,-90
B368,0,165,0,-90
B369,0,164,0,-90
B370,0,202,0,-90
B371,0,157,0,-90
B372,0,158,0,-90
B373,0,123,0,-90
B374,0,122,0,-90
B375,0,172,0,-90
B376,0,114,0,-90
B377,0,117,0,-90
B378,0,108,0,-90
B379,0,85,0,-90
B380,0,84,0,-90
B381,0,98,0,-90
B382,0,109,0,-90
B383,0,175,0,-90
B384,0,144,0,-90
B385,0,50,0,-90
B385,50,100,0,-90
B385,100,150,0,-90
B385,150,200,0,-90
B385,200,250,0,0
B385,250,300,270,0
B385,300,370,350,0
